,Category,Active (%).1999,Active (%).2009,Active (%).2015,Active (%).2021,Index (%).1999,Index (%).2009,Index (%).2015,Index (%).2021
0,US Equity,6.1,6.9,9.3,9.5,3.0,12.4,18.2,24.9
1,Large-Cap Blend,4.1,3.9,4.7,4.5,3.0,11.3,16.9,22.7
2,Large-Cap Growth,0.7,1.5,2.1,3.0,-,0.8,0.5,1.2
3,Large-Cap Value,0.8,1.0,1.7,1.0,-,0.1,0.2,0.4
4,Mid Cap,0.1,0.4,0.5,0.4,-,0.0,0.4,0.2
5,Small Cap,0.4,0.2,0.4,0.6,-,0.1,0.2,0.4
6,Global Equity,9.4,19.1,23.8,35.4,2.7,9.3,15.8,25.3
7,Large Cap,9.3,18.6,23.2,33.8,2.7,9.2,15.5,24.1
8,Mid/Small Cap,0.2,0.5,0.6,1.6,-,0.1,0.4,1.2
9,Sector Equity,4.9,7.3,5.5,10.3,1.3,5.0,5.0,7.4
10,Communications,1.0,0.1,0.1,0.0,-,0.4,0.1,0.1
11,Consumer Goods,0.1,0.3,0.3,0.5,-,0.4,0.3,0.3
12,Energy,0.2,1.0,0.3,0.8,-,0.5,0.2,0.6
13,Financials,0.3,0.4,0.3,0.4,-,0.8,0.8,0.7
14,Health Care,0.9,0.8,1.5,2.0,-,0.4,0.4,0.7
15,Industrials,0.0,0.2,0.1,0.1,-,0.7,0.2,0.3
16,Infrastructure,-,0.1,0.3,0.6,-,0.2,0.1,0.3
17,Natural Resources,0.3,1.5,0.3,0.4,-,0.0,0.0,0.0
18,Precious Metals,0.1,0.7,0.2,0.3,-,0.0,0.1,0.2
19,Property-Direct,-,-,-,-,-,-,-,-
20,Real Estate,0.4,1.1,1.2,1.2,-,1.1,2.6,2.4
21,Technology,1.7,0.5,0.7,3.9,1.3,0.2,0.3,1.8
22,Utilities,-,0.7,0.3,0.2,-,0.3,0.1,0.1
