,Category,Active (%).1999,Active (%).2009,Active (%).2015,Active (%).2021,Index (%).1999,Index (%).2009,Index (%).2015,Index (%).2021
0,Real Estate,0.2,1.2,1.9,1.4,0.3,1.6,2.4,1.6
1,Technology,3.2,0.7,0.8,1.5,0.1,1.1,1.3,2.3
2,Utilities,0.7,0.4,0.4,0.2,0.0,0.5,0.3,0.3
3,Emerging Markets,0.7,3.5,4.2,4.8,0.3,6.5,2.9,2.9
4,Regional Equity,1.3,1.4,0.9,0.6,3.0,7.0,5.0,1.9
5,Africa,-,-,-,-,-,-,-,-
6,Asia,0.1,0.1,0.1,0.1,0.7,0.5,0.2,0.1
7,Asia ex-Japan,0.2,0.4,0.3,0.2,0.1,0.7,0.2,0.2
8,Australia and New Zealand,-,-,-,-,0.0,0.2,0.0,0.0
9,Canada,-,-,-,0.1,0.0,0.3,0.1,0.1
10,Europe Large Cap,0.6,0.2,0.3,0.1,1.8,1.5,2.3,0.7
11,Europe Small Cap,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
12,Greater China,0.1,0.3,0.1,0.1,0.0,1.5,0.4,0.3
13,India,0.0,0.0,0.0,0.0,-,0.2,0.2,0.1
14,Japan,0.3,0.1,0.1,0.1,0.3,0.5,1.1,0.2
15,Korea,-,-,-,-,-,0.3,0.1,0.0
16,Latin America,0.1,0.3,0.0,0.0,-,1.3,0.1,0.1
17,Malaysia Equity,-,-,-,-,-,-,-,-
18,Mexico,-,-,-,-,0.0,0.1,0.0,0.0
19,Thailand,-,-,-,-,-,0.0,0.0,0.0
20,UK Equity Large Cap,-,-,-,0.0,0.0,0.1,0.1,0.0
21,UK Equity Mid/Small Cap,-,-,-,-,-,-,-,-
22,Miscellaneous,0.4,1.7,12.4,11.4,0.0,0.6,0.3,0.3
